_step,training/global_step,critic/rewards/mean,critic/rewards_sum/mean,critic/advantages/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,actor/ppo_kl,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/skip_uid_set_size,exp_mask_ratio,val-aux/alfworld/reward/mean@1,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/mean@3,val-aux/alfworld/reward/best@64/mean,label
17,17,0.59375,0.59375,-0.05493694543838501,0.1737283319234848,0.08323320001363754,-0.16644796170294285,0.047637104988098145,4,4,39,5,0.002040402265265584,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
18,18,0.59375,0.59375,-0.03512415662407875,0.1754242181777954,0.04581679776310921,0.11048510670661926,0.0,4,4,39,7,0.0012423229636624455,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
19,19,0.703125,0.703125,-0.06866975873708725,0.22570979595184326,0.19542628526687622,0.030307050794363022,0.017811842262744904,4,4,42,8,0.0033478818368166685,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
20,20,0.59375,0.59375,-0.07289787381887436,0.24092110991477966,0.3923075497150421,-0.13914207369089127,-0.010656564962118864,4,4,44,9,0.0014638780849054456,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
21,21,0.34375,0.34375,-0.03737545758485794,0.18261787295341492,0.0642077773809433,-0.03485088609158993,0.0,4,4,45,9,0.0015979813179001212,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
22,22,0.421875,0.421875,-0.05026328191161156,0.2030753642320633,0.36909765005111694,-0.135805856436491,0.011809652671217918,4,4,46,9,0.0024584371130913496,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
23,23,0.65625,0.65625,-0.03230323642492294,0.16950413584709167,0.13150130212306976,-0.012363389134407043,0.05718220770359039,4,4,47,11,0.0023399333003908396,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
24,24,0.5,0.5,-0.046332672238349915,0.20188558101654053,0.3037869930267334,-0.021917518228292465,0.0,4,4,49,11,0.0028522564098238945,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
25,25,0.4375,0.4375,-0.04005693271756172,0.14118245244026184,0.3660421073436737,-0.06098935008049011,-0.0019153803586959839,4,4,51,11,0.001996556529775262,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
26,26,0.390625,0.390625,-0.018501197919249535,0.14037741720676422,0.1552504003047943,-0.004251973703503609,0.021813658997416496,4,4,51,12,0.0021465797908604145,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
27,27,0.53125,0.53125,-0.0596456415951252,0.131524458527565,0.1914597749710083,-0.09716095961630344,0.05686241388320923,4,4,54,12,0.001871244516223669,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
28,28,0.421875,0.421875,-0.022358262911438942,0.11408058553934097,0.2031460404396057,0.08944043330848217,0.0,4,4,54,13,0.002115562092512846,,,,,"ER exp_ratio=0.5, start=0.10 (main)"
