_step,training/global_step,critic/rewards/mean,critic/rewards_sum/mean,critic/advantages/mean,actor/entropy_loss,actor/kl_loss,actor/pg_loss,actor/ppo_kl,exp_replay/num_experience_tasks,exp_replay/num_offpolicy_trajectories,exp_replay/total_tasks_in_pool,exp_replay/skip_uid_set_size,exp_mask_ratio,val-aux/alfworld/reward/mean@1,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/mean@3,val-aux/alfworld/reward/best@64/mean,label
13,13,0.484375,0.484375,-0.024215033277869225,0.14056400954723358,0.01845136098563671,-0.04541053809225559,0.0,2,2,36,4,0.0005813953466713428,,,,,"ER exp_ratio=0.25, start=0.10"
14,14,0.34375,0.34375,-0.02627081423997879,0.15573030710220337,0.05771493539214134,0.058158714324235916,0.0,2,2,38,4,0.0013086310354992747,,,,,"ER exp_ratio=0.25, start=0.10"
15,15,0.359375,0.359375,-0.034219346940517426,0.15645679831504822,0.20582976937294006,0.09705713577568531,0.0,2,2,41,4,0.001130830030888319,,,,,"ER exp_ratio=0.25, start=0.10"
16,16,0.59375,0.59375,-0.03061504103243351,0.13394251465797424,0.111982561647892,-0.11227497085928917,0.02141759730875492,2,2,43,6,0.000954442482907325,,,,,"ER exp_ratio=0.25, start=0.10"
17,17,0.4375,0.4375,-0.04519204422831535,0.1518477350473404,0.1501346379518509,0.14983908832073212,0.0,2,2,47,6,0.0012082423781976104,,,,,"ER exp_ratio=0.25, start=0.10"
18,18,0.46875,0.46875,-0.035421065986156464,0.14737696945667267,0.02503454126417637,0.1722073256969452,0.0,2,2,50,6,0.0008961263811215758,,,,,"ER exp_ratio=0.25, start=0.10"
19,19,0.625,0.625,-0.06384880840778351,0.21553844213485718,0.10347196459770203,-0.06833348236978054,0.0,2,2,56,6,0.0015404486330226064,,,,,"ER exp_ratio=0.25, start=0.10"
20,20,0.609375,0.609375,-0.02249780483543873,0.16283565759658813,0.11110705882310867,0.04172198474407196,-0.005089316982775927,2,2,58,9,0.0013619986129924655,,,,,"ER exp_ratio=0.25, start=0.10"
21,21,0.4375,0.4375,-0.03270263969898224,0.1535845398902893,0.1732843816280365,0.15698709897696972,0.0,2,2,62,9,0.0009724150877445936,,,,,"ER exp_ratio=0.25, start=0.10"
22,22,0.359375,0.359375,-0.02535671927034855,0.16858598589897156,0.08729955554008484,0.12088631838560104,0.0,2,2,63,9,0.0014061908004805446,,,,,"ER exp_ratio=0.25, start=0.10"
23,23,0.34375,0.34375,-0.025972284376621246,0.14486163854599,0.08668389916419983,0.12323329970240593,0.0,2,2,65,9,0.00167357106693089,,,,,"ER exp_ratio=0.25, start=0.10"
24,24,0.5625,0.5625,-0.030641984194517136,0.16940072178840637,0.20684757828712463,-0.132457060739398,0.0,2,2,67,10,0.0011833407916128635,,,,,"ER exp_ratio=0.25, start=0.10"
25,25,0.328125,0.328125,-0.0302224550396204,0.14668188989162445,0.1709931492805481,0.055850813165307045,0.0,2,2,69,10,0.001144326408393681,,,,,"ER exp_ratio=0.25, start=0.10"
26,26,0.4375,0.4375,-0.02266598679125309,0.13135534524917603,0.2366645336151123,0.02413942664861679,0.0,2,2,72,11,0.0006779394461773336,,,,,"ER exp_ratio=0.25, start=0.10"
27,27,0.5625,0.5625,-0.03752519190311432,0.13880419731140137,0.14907367527484894,-0.08317278325557709,0.0,2,2,76,12,0.0005197505233809352,,,,,"ER exp_ratio=0.25, start=0.10"
28,28,0.46875,0.46875,-0.022338761016726494,0.11180219054222107,0.13112488389015198,0.0154857337474823,0.0,2,2,80,12,0.0014766281237825751,,,,,"ER exp_ratio=0.25, start=0.10"
29,29,0.59375,0.59375,-0.04171399399638176,0.14877238869667053,0.5162267684936523,0.04281339794397354,0.0,2,2,83,13,0.0010114863980561495,,,,,"ER exp_ratio=0.25, start=0.10"
30,30,0.59375,0.59375,-0.02909214422106743,0.14281466603279114,0.1403885781764984,-0.1823973972350359,0.0,2,2,84,16,0.0007312750676646829,,,,,"ER exp_ratio=0.25, start=0.10"
