_step,is_offpolicy,offpolicy_ratio,exp_tokens,response_valid_tokens,reward_outcome,success,entropy_scalar
1,0.0,0.0,0.0,5576.0,0.0,0.0,0.13660168647766113
1,0.0,0.0,0.0,5965.0,0.0,0.0,0.10768091678619385
1,0.0,0.0,0.0,6677.0,0.0,0.0,0.13350367546081543
1,0.0,0.0,0.0,3633.0,1.0,1.0,0.1297215074300766
1,0.0,0.0,0.0,1762.0,1.0,1.0,0.18104827404022217
1,0.0,0.0,0.0,5026.0,0.0,0.0,0.15639948844909668
1,0.0,0.0,0.0,5543.0,0.0,0.0,0.16747364401817322
1,0.0,0.0,0.0,5226.0,0.0,0.0,0.08973530679941177
1,0.0,0.0,0.0,10314.0,0.0,0.0,0.08278705924749374
1,0.0,0.0,0.0,10253.0,0.0,0.0,0.08653845638036728
1,0.0,0.0,0.0,3078.0,1.0,1.0,0.06873184442520142
1,0.0,0.0,0.0,9653.0,0.0,0.0,0.09700560569763184
1,0.0,0.0,0.0,2548.0,1.0,1.0,0.10170924663543701
1,0.0,0.0,0.0,1258.0,1.0,1.0,0.14020775258541107
1,0.0,0.0,0.0,1565.0,1.0,1.0,0.22615507245063782
1,0.0,0.0,0.0,4507.0,0.0,0.0,0.10753034800291061
1,0.0,0.0,0.0,5334.0,0.0,0.0,0.10848704725503922
2,0.0,0.0,0.0,4870.0,0.0,0.0,0.14616046845912933
2,0.0,0.0,0.0,1500.0,1.0,1.0,0.2058260291814804
2,0.0,0.0,0.0,4892.0,0.0,0.0,0.10931246727705002
2,0.0,0.0,0.0,4615.0,0.0,0.0,0.107899010181427
2,0.0,0.0,0.0,4687.0,0.0,0.0,0.10779239982366562
2,0.0,0.0,0.0,4844.0,0.0,0.0,0.1494196504354477
2,0.0,0.0,0.0,4273.0,1.0,1.0,0.21349790692329407
2,0.0,0.0,0.0,5351.0,0.0,0.0,0.33770373463630676
2,0.0,0.0,0.0,2265.0,1.0,1.0,0.17308317124843597
2,0.0,0.0,0.0,4522.0,0.0,0.0,0.32574746012687683
2,0.0,0.0,0.0,3743.0,0.0,0.0,0.18106965720653534
2,0.0,0.0,0.0,5118.0,0.0,0.0,0.1582786589860916
2,0.0,0.0,0.0,5188.0,0.0,0.0,0.12463381141424179
2,0.0,0.0,0.0,5097.0,0.0,0.0,0.1937858909368515
2,0.0,0.0,0.0,5154.0,0.0,0.0,0.20542119443416595
2,0.0,0.0,0.0,4734.0,0.0,0.0,0.20905563235282898
2,0.0,0.0,0.0,4864.0,0.0,0.0,0.133649542927742
2,0.0,0.0,0.0,4789.0,0.0,0.0,0.16358868777751923
2,0.0,0.0,0.0,5074.0,0.0,0.0,0.15945550799369812
2,0.0,0.0,0.0,4956.0,0.0,0.0,0.1552610993385315
2,0.0,0.0,0.0,4558.0,0.0,0.0,0.1419249027967453
2,0.0,0.0,0.0,5139.0,0.0,0.0,0.18418154120445251
2,0.0,0.0,0.0,5180.0,0.0,0.0,0.18407787382602692
