_step,critic/rewards_onpolicy/mean,actor/entropy_loss,diag/teacher_token_ratio,diag/exp_token_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,diag/group_teacher_minus_on_reward_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_token_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,actor/off_pg_loss,actor/on_pg_loss
21,0.5178571343421936,0.12139657139778137,0.008084416389465332,0.008084416389465332,0.5178571343421936,1,0.11969401687383652,0.33029046654701233,0.48214285714285715,-0.05062948167324066,0.9564524292945862,0.5178571343421936,1.0,-0.06125680357217789,0.16894841380417347
22,0.42105263471603394,0.12393467128276825,0.008719824254512787,0.008719824254512787,0.42105263471603394,1,0.1221156120300293,0.3307269513607025,0.5918367346938777,-0.03876996412873268,1.3625192642211914,0.17543859779834747,0.7142857313156128,-0.23267319798469543,0.06929981149733067
23,0.4107142984867096,0.10544481128454208,0.00638899439945817,0.00638899439945817,0.4107142984867096,1,0.10451117157936096,0.2506411671638489,0.5892857142857142,-0.040193695574998856,1.0986802577972412,0.2857142984867096,0.875,-0.06861434131860733,0.06025553680956364
24,0.5,0.14272034168243408,0.010179215110838413,0.010179215110838413,0.5,1,0.14081083238124847,0.3283998668193817,0.5,-0.04484331235289574,0.8695797920227051,0.375,0.875,0.0,0.19048501923680305
25,0.3333333432674408,0.12640759348869324,0.006867547519505024,0.006867547519505024,0.3333333432674408,1,0.1253960281610489,0.272691547870636,0.6122448979591837,-0.044328756630420685,0.964309573173523,0.3333333432674408,1.0,-0.05314844101667404,-0.05489982292056084
26,0.4385964870452881,0.1335408091545105,0.008310484699904919,0.008310484699904919,0.4385964870452881,1,0.13228829205036163,0.2830007076263428,0.4897959183673469,-0.040808193385601044,1.4390028715133667,0.31578946113586426,0.8571428656578064,-0.17130267061293125,0.1922619342803955
27,0.5178571343421936,0.13662000000476837,0.010207331739366055,0.010207331739366055,0.5178571343421936,1,0.13424991071224213,0.3664437234401703,0.48214285714285715,-0.04026642069220543,1.328389048576355,0.2678571343421936,0.75,-0.2504003718495369,0.033753784373402596
28,0.6785714030265808,0.09680739045143127,0.006053631659597158,0.006053631659597158,0.6785714030265808,1,0.09567081928253174,0.28342148661613464,0.3214285714285714,-0.03065825253725052,0.6477899551391602,0.4285714328289032,0.75,0.0,-0.10622081533074379
29,0.7857142686843872,0.15141698718070984,0.010472036898136139,0.010472036898136139,0.7857142686843872,1,0.15037432312965393,0.24994267523288727,0.2142857142857143,-0.03763924166560173,0.5615047216415405,0.2857142984867096,0.5,-0.04116860032081604,-0.06738248653709888
30,0.6785714030265808,0.11890623718500137,0.008058546110987663,0.008058546110987663,0.6785714030265808,1,0.11736217141151428,0.308969110250473,0.3214285714285714,-0.04327676072716713,0.5618772506713867,0.4285714328289032,0.75,-0.08383369073271751,-0.03731725364923477
